urls,Domain,IP Address in URL,@ Symbol in URL,Length of URL,Depth of URL,"Redirection ""//"" in URL",http/https in Domain name,Using URL Shortening Services,"Prefix or Suffix ""-"" in Domain",DNS Record,Age of Domain,End Period of Domain
https://urlz.fr/rIQ1,urlz.fr,1,0,20,1,0,0,0,0,1,13.0,2027-05-14 15:38:28
https://docs.google.com/presentation/d/e/2PACX-1vQUdJzLIYaAq34CAt4M5ZlEn6CM0LRsdjtIu5RX6j0xbJjStyAVrwn0qILcoeCx_FmFGyP9UteGxBXa/pub?start=false&amp;loop=false&amp;delayms=3000&amp;slide=id.p,docs.google.com,1,0,190,5,0,0,0,0,1,26.0,2028-09-14 04:00:00
https://transportationllsmtpro.top/i/,transportationllsmtpro.top,0,0,37,2,0,0,0,0,0,0.0,2025-07-25 09:35:12
https://optusnet-webmail2.github.io/Optusnet-webmail2,optusnet-webmail2.github.io,1,0,53,1,0,0,0,1,1,,
https://cloudflare-ipfs.com/ipfs/bafybeidovvgnteyj7gtnlwujarnwh3vfl6zketyt73a7in3bibi66t7gb4#hazel.thomas@optusnet.com.au,cloudflare-ipfs.com,1,1,121,2,0,0,0,1,1,6.0,2032-05-30 14:15:34
https://pub-efe8c223714242868bdd2fa750e67f77.r2.dev/owa.html,pub-efe8c223714242868bdd2fa750e67f77.r2.dev,1,0,60,1,0,0,0,1,1,2.0,2025-08-23 14:38:38
https://jhghjjhjkj.w3spaces.com/,jhghjjhjkj.w3spaces.com,1,0,32,1,0,0,0,0,1,3.0,2024-12-21 07:26:31
https://pub-02d84e3db8a844e2a87f9cce72a5a5a5.r2.dev/index.html,pub-02d84e3db8a844e2a87f9cce72a5a5a5.r2.dev,1,0,62,1,0,0,0,1,1,2.0,2025-08-23 14:38:38
https://gvp.vtl.mybluehost.me/ameli/espace/p/redi.php?cmd=d7420a174960f9b9e795580d048a0875,gvp.vtl.mybluehost.me,1,0,90,4,0,0,0,0,1,7.0,2024-10-05 23:31:07
https://moseusalweb.weebly.com/,moseusalweb.weebly.com,1,0,31,1,0,0,0,0,1,18.0,2025-03-28 23:25:07
https://att-login669.weeblysite.com/,att-login669.weeblysite.com,1,0,36,1,0,0,0,1,1,11.0,2024-12-19 04:07:22
https://cloudflare-ipfs.com/ipfs/QmZDXtBN2CVohsvpnM8Je18SBu7kq1oB1Lh6CSBruJGYhV,cloudflare-ipfs.com,1,0,79,2,0,0,0,1,1,6.0,2032-05-30 14:15:34
https://pub-28a169ae095844cfaea95c68af49d74d.r2.dev/index.html,pub-28a169ae095844cfaea95c68af49d74d.r2.dev,1,0,62,1,0,0,0,1,1,2.0,2025-08-23 14:38:38
https://servertechnicalnoticeimmestae-reconecting.pages.dev/cerautheticate,servertechnicalnoticeimmestae-reconecting.pages.dev,1,0,74,1,0,0,0,1,1,,
https://docs.google.com/presentation/d/e/2PACX-1vTbcZGnAt7hlOMV4JLfWjGYEy2MpTHdMVhcXVHw4lseQvWOpfRZl7ncKTZlijqVFFTSN6YsVyRnjMIH/pub?start=false&amp;loop=false&amp;delayms=3000,docs.google.com,1,0,175,5,0,0,0,0,1,26.0,2028-09-14 04:00:00
https://appurl.io/NcA9Q6FE9a,appurl.io,1,0,28,1,0,0,0,0,1,11.0,2025-07-05 16:58:35
https://l.ead.me/bfJWik,l.ead.me,1,0,23,1,0,0,0,0,1,8.0,2024-10-20 08:13:42
https://ipfs.eth.aragon.network/ipfs/bafybeicisfv2wwmqsu4r44ymqugnnus6yasvkabtiqtzdtc5smea6jkhlu,ipfs.eth.aragon.network,1,0,96,2,0,0,0,0,1,7.0,2025-03-29 14:11:10
https://maper.info/2lD8W3,maper.info,1,0,25,1,0,0,0,0,1,6.0,2025-04-30 07:08:08
https://sites.google.com/view/email-updateserver/home,sites.google.com,1,0,53,3,0,0,0,0,1,26.0,2028-09-14 04:00:00
https://transxbnn.world/,transxbnn.world,0,0,24,1,0,0,0,0,0,0.0,2025-08-15 12:19:14
https://metauazkxlogin.webflow.io/,metauazkxlogin.webflow.io,1,0,34,1,0,0,0,0,1,11.0,2028-05-08 02:20:57
https://qualitaresiduos.com.br/red/index.html,qualitaresiduos.com.br,1,0,45,2,0,0,0,0,1,0.0,2025-06-07 00:00:00
https://rewards-thedebtboxs.pages.dev/imp/,rewards-thedebtboxs.pages.dev,1,0,42,2,0,0,0,1,1,,
https://x598raq1e6wkge.top,x598raq1e6wkge.top,0,0,26,0,0,0,0,0,0,0.0,2024-10-17 03:30:56
https://atlas-102318.weeblysite.com/,atlas-102318.weeblysite.com,1,0,36,1,0,0,0,1,1,11.0,2024-12-19 04:07:22
https://cloudflare-ipfs.com/ipfs/bafybeih4t5otghklt3xbh7hryaq66beiquprkkvf462cyytsyhyfybdese/,cloudflare-ipfs.com,1,0,93,3,0,0,0,1,1,6.0,2032-05-30 14:15:34
https://us-usps-addl.top/,us-usps-addl.top,1,0,25,1,0,0,0,1,1,0.0,2025-07-31 11:24:53
https://pub-a60dc12715c14eee97b272d41d4d54e6.r2.dev/snd.html,pub-a60dc12715c14eee97b272d41d4d54e6.r2.dev,1,0,60,1,0,0,0,1,1,2.0,2025-08-23 14:38:38
https://dara3dccj.wixsite.com/my-site-1,dara3dccj.wixsite.com,1,0,39,1,0,0,0,0,1,,
https://pub-703432a5ff324fee9e2c44b6262786b5.r2.dev/index.html,pub-703432a5ff324fee9e2c44b6262786b5.r2.dev,1,0,62,1,0,0,0,1,1,2.0,2025-08-23 14:38:38
http://43.156.0.130/v3/signin/identifier?continue=https://accounts.google.com/&amp;followup=https://accounts.google.com/&amp;ifkv=AYZoVhdc2mRRYuDyXjbPl3jZIIW0hNltZQLLmFu7oP0XL-_VqogfhrNjy5dFlbYYa8uOUl7aCXD0UA&amp;passive=1209600&amp;flowName=GlifWebSignIn&amp;flowEntry=ServiceLogin&amp;dsh=S-1207429424:1694424721805529&amp;theme=glif,43.156.0.130,1,0,335,3,0,0,0,0,1,,
https://rayi.pages.dev,rayi.pages.dev,1,0,22,0,0,0,0,0,1,,
https://metmukextsion.gitbook.io/us,metmukextsion.gitbook.io,1,0,35,1,0,0,0,0,1,10.0,2025-03-30 06:09:09
https://transpooww.xyz/,transpooww.xyz,0,0,23,1,0,0,0,0,0,0.0,2025-08-09 23:59:59
https://telstra-101340.weeblysite.com/,telstra-101340.weeblysite.com,1,0,38,1,0,0,0,1,1,11.0,2024-12-19 04:07:22
https://pub-6368b8649fea453bb4eb85bea7046dd6.r2.dev/original%20wetransfer.html,pub-6368b8649fea453bb4eb85bea7046dd6.r2.dev,1,0,78,1,0,0,0,1,1,2.0,2025-08-23 14:38:38
https://microsoft-107049.weeblysite.com/,microsoft-107049.weeblysite.com,1,0,40,1,0,0,0,1,1,11.0,2024-12-19 04:07:22
https://metsamesklognim.gitbook.io/us,metsamesklognim.gitbook.io,1,0,37,1,0,0,0,0,1,10.0,2025-03-30 06:09:09
https://worker-purple-fb.cloudflare-da7.workers.dev/,worker-purple-fb.cloudflare-da7.workers.dev,1,0,52,1,0,0,0,1,1,,
https://registremanquement.com,registremanquement.com,1,0,30,0,0,0,1,0,1,0.0,2025-08-22 20:42:19
https://pub-016796bd5fc04413b00545e000356181.r2.dev/index3.htm,pub-016796bd5fc04413b00545e000356181.r2.dev,1,0,62,1,0,0,0,1,1,2.0,2025-08-23 14:38:38
https://currently3035.weebly.com/,currently3035.weebly.com,1,0,33,1,0,0,0,0,1,18.0,2025-03-28 23:25:07
https://bafybeiayljyouughtts4v5eykgq36nfs4xeybxhployu5mmo44twodavqa.ipfs.nftstorage.link/paymentprocessingorder.html,bafybeiayljyouughtts4v5eykgq36nfs4xeybxhployu5mmo44twodavqa.ipfs.nftstorage.link,1,0,116,1,0,0,0,0,1,2.0,2028-02-11 10:44:03.906000
https://docs.google.com/drawings/d/1NYFGD8Ke6KEFtDZBPhas2DdR82Q0upxeHil_4H4kvuU,docs.google.com,1,0,79,3,0,0,0,0,1,26.0,2028-09-14 04:00:00
https://trezorapp---an.gitbook.io/us,trezorapp---an.gitbook.io,1,0,36,1,0,0,0,1,1,10.0,2025-03-30 06:09:09
http://inshaesrdtgufytdrsxdtfyguuyftdrszxdfytdrsdtfyguuyftdrsdtfy.pages.dev,inshaesrdtgufytdrsxdtfyguuyftdrszxdfytdrsdtfyguuyftdrsdtfy.pages.dev,1,0,75,0,0,0,0,0,1,,
https://metmsk-waalet.gitbook.io/us,metmsk-waalet.gitbook.io,1,0,35,1,0,0,0,1,1,10.0,2025-03-30 06:09:09
https://ppt.cc/f6wbBx,ppt.cc,1,0,21,1,0,0,0,0,1,16.0,2026-03-31 12:50:10
https://docs.google.com/presentation/d/e/2PACX-1vQ9PsFg3Vq_XgnYmzL0hFR-LgsrE-mZQU6_KEm2X0A1hgfROuJrgTDCSLSQM0h8ENo0pjPNw7T6Vdyn/pub?start=false&amp;loop=false&amp;delayms=3000&amp;slide=id.p,docs.google.com,1,0,190,5,0,0,0,0,1,26.0,2028-09-14 04:00:00
https://new.express.adobe.com/webpage/IMYuLTaesVo9A,new.express.adobe.com,1,0,51,2,0,0,0,0,1,37.0,2025-05-17 01:48:14
https://docs.google.com/presentation/d/e/2PACX-1vQDxqwC1ELqgacPm2FwFjLyi0NBLrFcO7-wI-RPhE98D2Xwpi1KS6eIZmuccT85oS-5VAg0aNe2wIQg/pub?start=false&amp;loop=false&amp;delayms=3000,docs.google.com,1,0,175,5,0,0,0,0,1,26.0,2028-09-14 04:00:00
https://link.space/@rxx,link.space,1,1,23,1,0,0,0,0,1,1.0,2024-10-13 23:59:59
https://cryputuccomunlogin.gitbook.io/usa,cryputuccomunlogin.gitbook.io,1,0,41,1,0,0,0,0,1,10.0,2025-03-30 06:09:09
https://docs.google.com/drawings/d/1Tp6N0iGnMoHzIO5qmAoPglzUg3jfEj7kJ1BJE9NJazU/edit,docs.google.com,1,0,84,4,0,0,0,0,1,26.0,2028-09-14 04:00:00
https://mail-account-box.webflow.io,mail-account-box.webflow.io,1,0,35,0,0,0,0,1,1,11.0,2028-05-08 02:20:57
https://ghardsoft.com/owa/,ghardsoft.com,1,0,26,2,0,0,1,0,1,7.0,2025-01-23 22:51:50
https://bit.ly/4fJSWT5,bit.ly,1,0,22,1,0,0,1,0,1,16.0,2032-05-17 22:00:00
https://suspristycoldrive.firebaseapp.com/,suspristycoldrive.firebaseapp.com,1,0,42,1,0,0,0,0,1,,
https://walletconect-docsa.gitbook.io/,walletconect-docsa.gitbook.io,1,0,38,1,0,0,0,1,1,10.0,2025-03-30 06:09:09
https://new.express.adobe.com/webpage/8v3VsIZ6mOd7F,new.express.adobe.com,1,0,51,2,0,0,0,0,1,37.0,2025-05-17 01:48:14
https://o1x.25412458.xyz/ejmjdph3/7E8MKR/7,o1x.25412458.xyz,0,0,42,3,0,0,0,0,0,0.0,2025-08-16 23:59:59
https://belpost.me/,belpost.me,1,0,19,1,0,0,0,0,1,0.0,2025-07-19 06:43:04
https://reftiii345.weebly.com/,reftiii345.weebly.com,1,0,30,1,0,0,0,0,1,18.0,2025-03-28 23:25:07
https://madcashxfinity.weebly.com/,madcashxfinity.weebly.com,1,0,34,1,0,0,0,0,1,18.0,2025-03-28 23:25:07
https://t.co/Y9wZspsc5x,t.co,1,0,23,1,0,0,1,0,1,14.0,2025-04-25 23:59:59
https://cloudflare-ipfs.com/ipfs/bafybeibprygwvcg2hw57fjbuwkndscqgiw3syk4par2vk3mhllstkj3xam/mbp7.html,cloudflare-ipfs.com,1,0,102,3,0,0,0,1,1,6.0,2032-05-30 14:15:34
https://plinpostea.life/,plinpostea.life,0,0,24,1,0,0,0,0,0,0.0,2025-08-09 08:11:31
https://trezordswallet.gitbook.io/us,trezordswallet.gitbook.io,1,0,36,1,0,0,0,0,1,10.0,2025-03-30 06:09:09
https://ipfs.io/ipfs/QmeUncaFC4gQgEeGQRtGf9Qtn657WGTEEVzSDXWJgzk5QC/oG_YBozKmUbEwdC.html,ipfs.io,1,0,88,3,0,0,0,0,1,10.0,2025-05-16 18:34:42
https://statement-smbc.com,statement-smbc.com,0,0,26,0,0,0,0,1,0,0.0,2025-08-10 16:12:30
https://att-106192.weeblysite.com/,att-106192.weeblysite.com,1,0,34,1,0,0,0,1,1,11.0,2024-12-19 04:07:22
https://att-104707.weeblysite.com/,att-104707.weeblysite.com,1,0,34,1,0,0,0,1,1,11.0,2024-12-19 04:07:22
https://principi-sulle-normative-pubblicitarie-zy.vercel.app/,principi-sulle-normative-pubblicitarie-zy.vercel.app,1,0,61,1,0,0,0,1,1,,
https://nouveauprogramme.weebly.com/,nouveauprogramme.weebly.com,1,0,36,1,0,0,0,0,1,18.0,2025-03-28 23:25:07
https://t.co/vK0awH9wHy,t.co,1,0,23,1,0,0,1,0,1,14.0,2025-04-25 23:59:59
http://rastrobel.com.br/esfera/gomeuspontos864,rastrobel.com.br,1,0,46,2,0,0,0,0,1,6.0,2025-10-10 00:00:00
https://pub-9204f20e06e047fc844db30aa53e5d5c.r2.dev/index.html,pub-9204f20e06e047fc844db30aa53e5d5c.r2.dev,1,0,62,1,0,0,0,1,1,2.0,2025-08-23 14:38:38
